"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "JSON with Comments", "JSON", "Markdown", "JavaScript", "XML", "comment", "blank", "total"
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 187, 0, 0, 0, 0, 0, 0, 0, 19, 206
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/form.tsx", "TypeScript JSX", 0, 153, 0, 0, 0, 0, 0, 0, 0, 26, 179
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/input.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/label.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/popover.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/progress.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/select.tsx", "TypeScript JSX", 0, 151, 0, 0, 0, 0, 0, 0, 0, 14, 165
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/sheet.tsx", "TypeScript JSX", 0, 125, 0, 0, 0, 0, 0, 0, 0, 16, 141
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/table.tsx", "TypeScript JSX", 0, 110, 0, 0, 0, 0, 0, 0, 0, 11, 121
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/tabs.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 0, 8, 56
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/textarea.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/tooltip.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 8, 31
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/context/context.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/lib/firebase/index.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/lib/utils.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/tailwind.config.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 5, 87
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/tsconfig.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 135, 4031, 68, 29, 8090, 23, 8, 44, 107, 522, 13057
